Model;Complex;T1;T2;T3;T4;T5;T6;T7;T8;T9
1;0;5;3;0;0;2;2;0;0;0;
10a;0;7;4;0;0;0;0;0;0;10;
10b;2;2;1;0;0;1;0;0;0;4;
11a;2;2;1;0;0;2;0;0;0;4;
11b;2;5;1;0;0;2;0;0;0;4;
12a;1;2;2;2;0;3;0;0;0;0;
12b;0;11;0;0;4;2;0;0;0;12;
12c;0;4;3;0;0;0;0;0;0;0;
12d;0;19;8;0;0;0;0;0;0;24;
12e;0;4;2;0;0;0;0;0;0;12;
2a;2;16;1;0;4;1;0;0;0;0;
2b;0;4;2;0;0;3;0;0;0;0;
2c;0;5;0;0;0;0;0;0;0;0;
2d;0;5;0;0;4;0;0;0;0;0;
2e;2;7;1;0;0;0;1;0;0;0;
3a;0;5;2;0;0;3;0;0;0;0;
3b;0;6;2;0;0;0;0;2;0;0;
4;0;15;6;0;0;0;0;5;0;12;
5;0;12;6;0;0;0;0;0;0;8;
6a;0;8;4;0;0;0;0;0;0;16;
6b;0;5;4;0;0;0;0;0;0;0;
6c;0;14;6;0;0;0;0;3;0;10;
6d;0;9;2;0;3;0;2;0;0;0;
6e;0;7;6;0;0;0;0;4;0;0;
6f;5;9;3;0;0;0;2;4;0;16;
6g;0;7;2;0;2;0;0;0;0;10;
7;0;4;2;0;0;0;0;1;0;8;
8;0;7;2;0;0;3;0;4;0;6;
9a;0;8;0;0;0;0;0;0;0;0;
9b;0;4;2;0;0;0;0;0;0;6;
9c;0;20;2;0;0;0;0;2;7;10;
9e;0;6;2;0;0;0;0;4;0;2;
